Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Volume),Average Daily Origin Zone Traffic (StL Volume),Average Daily Destination Zone Traffic (StL Volume),Avg Travel Time (sec)
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),173,166,166,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),14,14,14,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),435,432,432,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),6,6,6,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),20,20,20,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),293,284,284,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),65,67,67,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),52,54,54,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),0: All Day (12am-12am),0,613,6281,870
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,110,1158,765
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,312,2257,975
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),0: All Day (12am-12am),6,623,6039,870
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),0,146,1333,765
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,290,1991,975
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),0: All Day (12am-12am),0,613,1043,675
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,312,601,675
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),0: All Day (12am-12am),0,613,1116,2010
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,312,629,2010
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),0: All Day (12am-12am),0,623,722,2010
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,290,396,2010
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),0: All Day (12am-12am),0,613,492,354
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,110,17,278
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,312,298,430
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Landmark Vineyards,yes,283,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,432,753,430
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Landmark Vineyards,yes,283,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),0,284,501,430
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Ledsen Winery and Vineyards,yes,45,yes,0: All Days (M-Su),0: All Day (12am-12am),0,613,798,945
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Ledsen Winery and Vineyards,yes,45,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,312,480,945
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Ledsen Winery and Vineyards,yes,45,yes,1: Weekday (M-Th),0: All Day (12am-12am),0,623,473,945
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Ledsen Winery and Vineyards,yes,45,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,290,272,945
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),0: All Day (12am-12am),19,613,15338,688
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,110,3166,618
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),13,312,5221,718
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),6,148,4846,636
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,0: All Days (M-Su),5: Late PM (7pm-12am),0,35,1713,728
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),0: All Day (12am-12am),19,623,14949,711
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),6,146,3705,618
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),13,290,4596,768
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),6,166,4764,705
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),0,14,1497,570
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),18,432,15459,649
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),13,284,6420,689
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Highway NB,yes,335,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),5,67,4765,570
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),0: All Day (12am-12am),124,613,24109,180
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),1: Early AM (12am-6am),0,9,502,310
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),2: Peak AM (6am-10am),13,110,4939,158
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),55,312,8734,181
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),45,148,7423,188
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,0: All Days (M-Su),5: Late PM (7pm-12am),12,35,2511,146
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),0: All Day (12am-12am),130,623,24531,189
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),1: Early AM (12am-6am),0,7,510,310
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),18,146,5755,182
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),47,290,8372,220
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),60,166,7650,171
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),7,14,2244,90
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),72,432,21953,122
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),4,20,2922,115
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),45,284,9221,121
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),10,67,6550,159
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Sonoma Hwy SB,yes,120,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),15,54,2805,114
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,0: All Days (M-Su),0: All Day (12am-12am),0,613,489,470
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,148,165,470
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,1: Weekday (M-Th),0: All Day (12am-12am),0,623,284,470
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,St. Francis Winery and Vineyards 1,yes,93,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,166,77,470
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),0: All Day (12am-12am),0,613,2371,690
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,110,408,735
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Trinity Rd.,yes,195,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,148,823,645
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),0: All Day (12am-12am),7,623,2212,690
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),0,146,478,735
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,166,725,645
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),0: All Day (12am-12am),6,6281,613,909
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),6,2257,312,938
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,2126,148,795
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),0: All Day (12am-12am),6,6039,623,795
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),6,1991,290,795
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,2090,166,795
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),0,6269,432,855
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),0,2752,284,855
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),0: All Day (12am-12am),6316,6281,6281,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),1: Early AM (12am-6am),137,135,135,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),2: Peak AM (6am-10am),1169,1158,1158,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),2295,2257,2257,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),2140,2126,2126,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),5: Late PM (7pm-12am),609,605,605,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),0: All Day (12am-12am),6059,6039,6039,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),1: Early AM (12am-6am),125,124,124,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),1347,1333,1333,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),2010,1991,1991,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),2116,2090,2090,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),502,501,501,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),6341,6269,6269,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),155,153,153,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),717,716,716,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),2835,2752,2752,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1938,1944,1944,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),708,705,705,N/A
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,B Wise Vineyards,yes,327,yes,0: All Days (M-Su),0: All Day (12am-12am),0,6281,592,530
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,B Wise Vineyards,yes,327,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,2126,212,530
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),0: All Day (12am-12am),781,6281,4241,402
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),1: Early AM (12am-6am),5,135,35,362
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),2: Peak AM (6am-10am),214,1158,864,416
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),236,2257,1422,403
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),274,2126,1530,394
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),5: Late PM (7pm-12am),53,605,390,392
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),0: All Day (12am-12am),830,6039,4335,404
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),1: Early AM (12am-6am),3,124,27,386
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),264,1333,1026,419
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),225,1991,1354,406
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),288,2090,1591,392
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),51,501,337,387
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),643,6269,3741,397
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),11,153,50,342
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),102,716,486,413
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),264,2752,1578,400
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),205,1944,1215,390
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),61,705,412,398
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),0: All Day (12am-12am),6,6281,1043,1118
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,1158,101,1275
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),3,2257,601,963
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,2126,312,1530
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),0: All Day (12am-12am),3,6039,716,1868
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),3,1991,410,1868
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),9,6269,1598,990
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),6,2752,954,720
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),3,1944,547,1530
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),0: All Day (12am-12am),6,6281,714,907
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),2: Peak AM (6am-10am),6,1158,221,894
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),3,2257,252,946
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),0: All Day (12am-12am),10,6039,826,923
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),6,1333,296,886
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),3,1991,244,1057
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),0: All Day (12am-12am),9,6281,1116,735
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,1158,111,705
All Vehicles - StL All Vehicles Volume,,Arnold Dr.,yes,315,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),6,2257,629,696
